,experiment,attn,shot_meta,shot,eval_bs,video,miou,step,rel_diff
286,ts-meta2-shot2-n2,ts,2,2,2,cows,0.6364099979400635,100,-12.98049475467525
287,ts-meta2-shot2-n2,ts,2,2,2,dance-twirl,0.3640955686569214,300,-14.994507389210549
288,ts-meta2-shot2-n2,ts,2,2,2,dog,0.5970245003700256,900,-13.446380165374954
289,ts-meta2-shot2-n2,ts,2,2,2,drift-chicane,0.4752433896064758,500,8.96815604527284
290,ts-meta2-shot2-n2,ts,2,2,2,drift-straight,0.3124523758888244,0,47.027850717149406
291,ts-meta2-shot2-n2,ts,2,2,2,goat,0.5393144488334656,100,-14.824179922699527
292,ts-meta2-shot2-n2,ts,2,2,2,horsejump-high,0.4908570051193237,800,-3.9871519843305614
293,ts-meta2-shot2-n2,ts,2,2,2,kite-surf,0.2457110285758972,300,-40.937050384965744
294,ts-meta2-shot2-n2,ts,2,2,2,libby,0.4167319536209106,400,0.563211934794149
295,ts-meta2-shot2-n2,ts,2,2,2,motocross-jump,0.5162853598594666,1000,47.234981211960296
296,ts-meta2-shot2-n2,ts,2,2,2,paragliding-launch,0.3894286155700683,800,-18.278404089827205
297,ts-meta2-shot2-n2,ts,2,2,2,parkour,0.3421827554702759,1000,37.0884271999343
298,ts-meta2-shot2-n2,ts,2,2,2,scooter-black,0.3986810445785522,600,-36.49562811314651
299,ts-meta2-shot2-n2,ts,2,2,2,soapbox,0.543061375617981,900,-2.172180376128446
300,ts-meta2-shot2-n8,ts,2,2,8,blackswan,0.6513903737068176,1000,-10.831901935397962
301,ts-meta2-shot2-n8,ts,2,2,8,bmx-trees,0.2637625336647033,500,9.73921690675937
302,ts-meta2-shot2-n8,ts,2,2,8,breakdance,0.4122189283370971,800,-10.730520609959662
303,ts-meta2-shot2-n8,ts,2,2,8,camel,0.5808854699134827,600,-2.790599087718108
304,ts-meta2-shot2-n8,ts,2,2,8,car-roundabout,0.7159931659698486,1000,-3.1854951023629354
305,ts-meta2-shot2-n8,ts,2,2,8,car-shadow,0.6719144582748413,200,-8.868194280683614
306,ts-meta2-shot2-n8,ts,2,2,8,cows,0.6537302732467651,300,-10.61220734124599
307,ts-meta2-shot2-n8,ts,2,2,8,dance-twirl,0.4148876667022705,600,-3.136062280946137
308,ts-meta2-shot2-n8,ts,2,2,8,dog,0.6129098534584045,400,-11.14340129047422
309,ts-meta2-shot2-n8,ts,2,2,8,drift-chicane,0.4835361242294311,400,10.869590173971595
310,ts-meta2-shot2-n8,ts,2,2,8,drift-straight,0.3174610137939453,0,49.384719549129095
311,ts-meta2-shot2-n8,ts,2,2,8,goat,0.5896527171134949,100,-6.874080882525985
312,ts-meta2-shot2-n8,ts,2,2,8,horsejump-high,0.5001312494277954,500,-2.1730867882292593
313,ts-meta2-shot2-n8,ts,2,2,8,kite-surf,0.1985707283020019,800,-52.268430974806236
314,ts-meta2-shot2-n8,ts,2,2,8,libby,0.4352771043777466,400,5.0384145433728715
